mou_id,sector,district,announced_investment_inr,realisation_pct,realised_investment_inr,jobs_promised,jobs_verified,days_to_realisation
MOU-0077,Logistics,Vellore,50609763,75,37957322,849,535,219
MOU-0078,IT/ITES,Ariyalur,50617682,86,43531207,986,690,266
MOU-0079,Food Processing,Coimbatore,50625601,18,9112608,1123,865,313
MOU-0080,Pharma,Dindigul,50633520,29,14683721,1260,1058,360
MOU-0081,Electronics,Karur,50641439,40,20256576,1397,391,407
MOU-0082,Automotive,Thanjavur,50649358,51,25831173,1534,537,454
MOU-0083,Renewables,Vellore,50657277,62,31407512,1671,702,501
MOU-0084,Textiles,Ariyalur,50665196,73,36985593,1808,886,548
MOU-0085,Logistics,Coimbatore,50673115,84,42565417,1945,1089,595
MOU-0086,IT/ITES,Dindigul,50681034,95,48146982,2082,1312,642
MOU-0087,Food Processing,Karur,50688953,27,13686017,2219,1553,689
MOU-0088,Pharma,Thanjavur,50696872,38,19264811,2356,1814,736
MOU-0089,Electronics,Vellore,50704791,49,24845348,2493,2094,783
MOU-0090,Automotive,Ariyalur,50712710,60,30427626,2630,736,830
MOU-0091,Renewables,Coimbatore,50720629,71,36011647,2767,968,877
MOU-0092,Textiles,Dindigul,50728548,82,41597409,2904,1220,924
MOU-0093,Logistics,Karur,50736467,93,47184914,3041,1490,971
MOU-0094,IT/ITES,Thanjavur,50744386,25,12686096,3178,1780,138
MOU-0095,Food Processing,Vellore,50752305,36,18270830,3315,2088,185
MOU-0096,Pharma,Ariyalur,50760224,47,23857305,3452,2416,232
MOU-0097,Electronics,Coimbatore,50768143,58,29445523,3589,2764,279
